DDCTransactionId56919FB14945102E7418AD88650E195F_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2022.06.06-20.49.38, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=1.146097ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionId327BDA594D5E8A954B7832A8036FC0DA_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__BC764A2C9EE4304B0C67B21817404693E1F7E028, StartTime=2022.06.06-20.49.38, HierarchicalDDC, DataSize=3559 bytes, Retrieved=true, Duration=0.026401ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionId327BDA594D5E8A954B7832A8036FC0DA_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__9D39F803524611E06A149C72524AD5B16F591378, StartTime=2022.06.06-20.49.38, HierarchicalDDC, Duration=0.010800ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionIdE6E254D649BB091853E028B632D817EA_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__CA89507B8D820F4BC2690ECA204279B9555C9728, StartTime=2022.06.06-20.49.38, HierarchicalDDC, DataSize=4452 bytes, Retrieved=true, Duration=0.029501ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionIdE6E254D649BB091853E028B632D817EA_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__4CE82FE331674843D9D63FF6A48098076A341066, StartTime=2022.06.06-20.49.38, HierarchicalDDC, Duration=0.009000ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionIdD2F5D01540409E6BD77480A1BCC95D38_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E, StartTime=2022.06.06-20.49.38, HierarchicalDDC, DataSize=6591 bytes, Retrieved=true, Duration=0.060800ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionIdE6E254D649BB091853E028B632D817EA_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__E2E37627513408BF1569A25F4D84185B4CD2360C, StartTime=2022.06.06-20.49.38, HierarchicalDDC, Duration=0.025000ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionId5F1AA615479F5428BE2D1C8ADC615DA2_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__FBBDD204E59CC3E3C9749161169905E65779DA9A, StartTime=2022.06.06-20.49.38, HierarchicalDDC, DataSize=6899 bytes, Retrieved=true, Duration=0.101499ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionIdE6E254D649BB091853E028B632D817EA_3, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__075E02065A5353E35623093DF43D23E005525A14, StartTime=2022.06.06-20.49.38, HierarchicalDDC, Duration=0.057597ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionIdE6E254D649BB091853E028B632D817EA_4, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__757395CD4BEBCAA3704D2DFD62AF92D69A63345C, StartTime=2022.06.06-20.49.38, HierarchicalDDC, Duration=0.037402ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
DDCTransactionIdD2F5D01540409E6BD77480A1BCC95D38_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___018F4075D3397499A38D84DACDCE819C495D7211, StartTime=2022.06.06-20.49.38, HierarchicalDDC, Duration=0.029102ms, RunGuid=RunID93D4041047B36F7A36DC228A2AECEB39
